Año,Semana,Dia,Tipo Operación,CeCo,Tienda,Ingrediente,Unidad de Medida,Proveedor,Cantidad,Costo Unitario,Costo Total
2026,14,01/04/2026,Transferencia,38101,Angel,Ensalada Cesar,Pieza,38240 SBUX Amberes,-1.00,$79.92,-$79.92
2026,14,01/04/2026,Transferencia,38104,Olivar De Los Padres,Bis Super Croissant Cja/80 Pzas,Pieza,38617 SBUX Axiomatla,10.00,$13.80,$138.00
2026,14,01/04/2026,Transferencia,38106,Prado Norte,Aderezo Chipotle Heinz 390 gr,BTE: Bote 390g,43142 SBUX Montes_Urales,-1.00,$38.40,-$38.40
2026,14,01/04/2026,Transferencia,38106,Prado Norte,Bis Super Croissant Cja/80 Pzas,Pieza,43142 SBUX Montes_Urales,-20.00,$13.80,-$276.00
2026,14,01/04/2026,Transferencia,38106,Prado Norte,Envuelto de Atun,Pieza,43142 SBUX Montes_Urales,5.00,$41.22,$206.10
2026,14,01/04/2026,Transferencia,38106,Prado Norte,Envuelto Poblano,Pieza,43142 SBUX Montes_Urales,-5.00,$37.56,-$187.80
2026,14,01/04/2026,Transferencia,38106,Prado Norte,Grilled Cheese Sandwich,Pieza,43142 SBUX Montes_Urales,-4.00,$33.58,-$134.32
2026,14,01/04/2026,Transferencia,38106,Prado Norte,Jarabe S Free Vainilla 1 Lt,Litro,43142 SBUX Montes_Urales,-1.00,$94.30,-$94.30
2026,14,01/04/2026,Transferencia,38106,Prado Norte,Jarabe Vainilla 1 Lt,Litro,43142 SBUX Montes_Urales,-1.00,$98.52,-$98.52
2026,14,01/04/2026,Transferencia,38106,Prado Norte,Matcha sin Azucar,BOL: Bolsa 100g,43142 SBUX Montes_Urales,-1.00,$160.07,-$160.07
2026,14,01/04/2026,Transferencia,38106,Prado Norte,Mocha Powder,Bolsa 3.9 Lb,43142 SBUX Montes_Urales,-1.00,$298.41,-$298.41
2026,14,01/04/2026,Transferencia,38106,Prado Norte,Panini 3 Quesos,Pieza,43142 SBUX Montes_Urales,-5.00,$42.41,-$212.05
2026,14,01/04/2026,Transferencia,38106,Prado Norte,Piadini de Claras y Espinacas,Pieza,43142 SBUX Montes_Urales,-5.00,$29.26,-$146.30
2026,14,01/04/2026,Transferencia,38106,Prado Norte,Salsa De Caramelo Para Bebida Cj,Bolsa 1Kg,43142 SBUX Montes_Urales,-1.00,$113.91,-$113.91
2026,14,01/04/2026,Transferencia,38106,Prado Norte,Te Tazo Chai Concentrado,Litro,43142 SBUX Montes_Urales,-2.00,$70.74,-$141.48
2026,14,01/04/2026,Transferencia,38108,Campos Eliseos,Azucar Dieta Splenda,Pieza,38349 SBUX Torre_Inverlat,-100.00,$0.20,-$20.24
2026,14,01/04/2026,Transferencia,38108,Campos Eliseos,Base Frappuccino Creme Syrup 3.0,Botella 1.89 Lt,38349 SBUX Torre_Inverlat,-2.00,$126.80,-$253.61
2026,14,01/04/2026,Transferencia,38108,Campos Eliseos,BIS GALLETA DUBAI CJ,Pieza,38349 SBUX Torre_Inverlat,20.00,$28.37,$567.36
2026,14,01/04/2026,Transferencia,38108,Campos Eliseos,Bis Super Croissant Cja/80 Pzas,Pieza,38220 SBUX Obelisco,-20.00,$13.80,-$276.00
2026,14,01/04/2026,Transferencia,38108,Campos Eliseos,C4B BLOSSOM CH POWDER 340GRS,BOL: Bol 340g,38349 SBUX Torre_Inverlat,2.00,$147.10,$294.21
2026,14,01/04/2026,Transferencia,38108,Campos Eliseos,Cake Pop Vainilla Cumpleanos Cja,BLI: Blis 3pz,38349 SBUX Torre_Inverlat,2.00,$42.56,$85.12
2026,14,01/04/2026,Transferencia,38108,Campos Eliseos,Chorizo Pamplona 500 gr,PAQ:Paq 500g,38220 SBUX Obelisco,-1.00,$96.33,-$96.33
2026,14,01/04/2026,Transferencia,38108,Campos Eliseos,Crema Para Batir Cja/12 Pzas/950,Litro,38349 SBUX Torre_Inverlat,-2.00,$105.27,-$210.54
2026,14,01/04/2026,Transferencia,38108,Campos Eliseos,Doble Huevo Campestre,Pieza,43045 SBUX Periferico_Polanco_DT,8.00,$44.57,$356.58
2026,14,01/04/2026,Transferencia,38108,Campos Eliseos,Doble Huevo Campestre,Pieza,38220 SBUX Obelisco,-4.00,$44.57,-$178.29
2026,14,01/04/2026,Transferencia,38108,Campos Eliseos,Envuelto Hawaiano Cj/12 Pzas/185,Pieza,43045 SBUX Periferico_Polanco_DT,3.00,$38.53,$115.60
2026,14,01/04/2026,Transferencia,38108,Campos Eliseos,Envuelto Hawaiano Cj/12 Pzas/185,Pieza,38399 SBUX Carso_Polanco_I,3.00,$38.53,$115.60
2026,14,01/04/2026,Transferencia,38108,Campos Eliseos,Envuelto Poblano,Pieza,38349 SBUX Torre_Inverlat,-5.00,$37.56,-$187.80
2026,14,01/04/2026,Transferencia,38108,Campos Eliseos,Grilled Cheese Sandwich,Pieza,38349 SBUX Torre_Inverlat,-5.00,$33.58,-$167.90
2026,14,01/04/2026,Transferencia,38108,Campos Eliseos,Jugo Verde SBX,Pieza,38349 SBUX Torre_Inverlat,-2.00,$58.27,-$116.55
2026,14,01/04/2026,Transferencia,38108,Campos Eliseos,Mocha Powder,Bolsa 3.9 Lb,38349 SBUX Torre_Inverlat,-2.00,$298.41,-$596.81
2026,14,01/04/2026,Transferencia,38108,Campos Eliseos,Muffin Chocochip Nuevo,Pieza,38349 SBUX Torre_Inverlat,-6.00,$22.02,-$132.11
2026,14,01/04/2026,Transferencia,38108,Campos Eliseos,Panini 3 Quesos,Pieza,38349 SBUX Torre_Inverlat,-6.00,$42.41,-$254.46
2026,14,01/04/2026,Transferencia,38108,Campos Eliseos,Panini Pavo y Panela,Pieza,38349 SBUX Torre_Inverlat,-25.00,$38.87,-$971.75
2026,14,01/04/2026,Transferencia,38108,Campos Eliseos,Pechuga de Pavo 500grs,PAQ:Paq 500g,43045 SBUX Periferico_Polanco_DT,4.00,$83.55,$334.18
2026,14,01/04/2026,Transferencia,38108,Campos Eliseos,Pechuga de Pavo 500grs,PAQ:Paq 500g,38399 SBUX Carso_Polanco_I,4.00,$83.55,$334.18
2026,14,01/04/2026,Transferencia,38108,Campos Eliseos,Piadini de Claras y Espinacas,Pieza,38220 SBUX Obelisco,-5.00,$29.26,-$146.30
