Año,Semana,Dia,Tipo Operación,CeCo,Tienda,Ingrediente,Unidad de Medida,Proveedor,Cantidad,Costo Unitario,Costo Total
2026,1,01/01/2026,Transferencia,38104,Olivar De Los Padres,013481 CONTENEDOR ALMEJA 6ECO,Pieza,38617 SBUX Axiomatla,-50.00,$4.01,-$200.27
2026,1,01/01/2026,Transferencia,38104,Olivar De Los Padres,Charola Porta Vasos,Pieza,38617 SBUX Axiomatla,-100.00,$1.43,-$143.40
2026,1,01/01/2026,Transferencia,38108,Campos Eliseos,Rosca de Reyes,Pieza,38220 SBUX Obelisco,-12.00,$32.23,-$386.79
2026,1,01/01/2026,Transferencia,38108,Campos Eliseos,VASO 16OZ BEBIDA FRIA ECOCOMPNAL,Pieza,38470 SBUX Chapu_Reforma,-200.00,$2.26,-$452.27
2026,1,01/01/2026,Transferencia,38111,Masaryk,16086-Frapuccino Base Local Coff,Botella 1.89 Lt,38118 SBUX Corporativo_Polanco,-1.00,$149.32,-$149.32
2026,1,01/01/2026,Transferencia,38111,Masaryk,Base Frappuccino Creme Syrup 3.0,Botella 1.89 Lt,38118 SBUX Corporativo_Polanco,-1.00,$122.51,-$122.51
2026,1,01/01/2026,Transferencia,38111,Masaryk,Popote Perlas Generico Recetas,Pieza,38118 SBUX Corporativo_Polanco,50.00,$0.75,$37.66
2026,1,01/01/2026,Transferencia,38111,Masaryk,Vaso Compostable Caliente 8 oz,Pieza,38118 SBUX Corporativo_Polanco,100.00,$1.12,$112.37
2026,1,01/01/2026,Transferencia,38118,Corporativo Polanco,Popote Perlas Generico Recetas,Pieza,38111 SBUX Masaryk,-50.00,$0.75,-$37.65
2026,1,01/01/2026,Transferencia,38118,Corporativo Polanco,TAPA PLANA VASO16 OZ ECOCOMP NAL,Pieza,38219 SBUX Irrigacion,100.00,$0.52,$51.70
2026,1,01/01/2026,Transferencia,38118,Corporativo Polanco,Vaso Compostable Caliente 8 oz,Pieza,38111 SBUX Masaryk,-100.00,$1.12,-$112.40
2026,1,01/01/2026,Transferencia,38119,Lomas Verdes,Cafe Decaf Espresso Roast 5 Lb,Bolsa 5 Lb,38925 SBUX Star_Medica_Lomas_Ver,-1.00,"$1,167.23","-$1,167.23"
2026,1,01/01/2026,Transferencia,38119,Lomas Verdes,Chorizo Pamplona 500 gr,PAQ:Paq 500g,38394 SBUX Plaza_Lomas_Verdes,-1.00,$96.33,-$96.33
2026,1,01/01/2026,Transferencia,38119,Lomas Verdes,Servilleta Logo 2025,NA,38394 SBUX Plaza_Lomas_Verdes,-4.00,$27.60,-$110.42
2026,1,01/01/2026,Transferencia,38119,Lomas Verdes,Vaso de Papel 12 oz,Pieza,38394 SBUX Plaza_Lomas_Verdes,-50.00,$1.13,-$56.61
2026,1,01/01/2026,Transferencia,38119,Lomas Verdes,Vaso de Papel 20 oz,Pieza,38394 SBUX Plaza_Lomas_Verdes,-50.00,$1.57,-$78.62
2026,1,01/01/2026,Transferencia,38123,Alameda,Tapa CompostaCaliente12/16/20 oz,Pieza,38376 SBUX Torre_Caballito,200.00,$1.27,$254.00
2026,1,01/01/2026,Transferencia,38128,Condesa,Azucar Refinada Starbucks,Pieza,38187 SBUX Condesa_III,"1,000.00",$0.26,$256.49
2026,1,01/01/2026,Transferencia,38128,Condesa,Tapa CompostaCaliente12/16/20 oz,Pieza,38187 SBUX Condesa_III,-100.00,$1.27,-$127.23
2026,1,01/01/2026,Transferencia,38134,Pilares Dt,Bis Super Croissant Cja/80 Pzas,Pieza,38579 SBUX Division_del_Norte_II,-20.00,$14.50,-$290.06
2026,1,01/01/2026,Transferencia,38134,Pilares Dt,Cafe Espresso Roast 5 Lb,Bolsa 5 Lb,38579 SBUX Division_del_Norte_II,-2.00,$999.04,"-$1,998.07"
2026,1,01/01/2026,Transferencia,38134,Pilares Dt,Jarabe S Free Vainilla 1 Lt,Litro,38579 SBUX Division_del_Norte_II,-2.00,$100.15,-$200.30
2026,1,01/01/2026,Transferencia,38134,Pilares Dt,Jarabe White Mocha 750 ml,NA,38579 SBUX Division_del_Norte_II,-1.00,$115.85,-$115.85
2026,1,01/01/2026,Transferencia,38134,Pilares Dt,Queso Manchego 500grs,PAQ:Paq 500g,38579 SBUX Division_del_Norte_II,4.00,$81.85,$327.40
2026,1,01/01/2026,Transferencia,38134,Pilares Dt,Tapa CompostaCaliente12/16/20 oz,Pieza,38579 SBUX Division_del_Norte_II,-100.00,$1.27,-$127.20
2026,1,01/01/2026,Transferencia,38134,Pilares Dt,VASO 16OZ BEBIDA FRIA ECOCOMPNAL,Pieza,38579 SBUX Division_del_Norte_II,-50.00,$2.26,-$113.05
2026,1,01/01/2026,Transferencia,38134,Pilares Dt,VASO 22OZ BEBIDA FRIA ECOCOMPNAL,Pieza,38579 SBUX Division_del_Norte_II,-100.00,$2.64,-$263.80
2026,1,01/01/2026,Transferencia,38138,Galerias Metepec,Cafe Espresso Roast 5 Lb,Bolsa 5 Lb,38987 SBUX Punta_Zero_Calimay_DT,-2.00,$999.04,"-$1,998.07"
2026,1,01/01/2026,Transferencia,38138,Galerias Metepec,Vaso de Papel 16 oz,Pieza,38987 SBUX Punta_Zero_Calimay_DT,-150.00,$1.18,-$176.85
2026,1,01/01/2026,Transferencia,38138,Galerias Metepec,Vaso de Papel 20 oz,Pieza,38987 SBUX Punta_Zero_Calimay_DT,-160.00,$1.57,-$251.52
2026,1,01/01/2026,Transferencia,38141,Plaza Mayor Metepec,Vaso de Papel 12 oz,Pieza,38987 SBUX Punta_Zero_Calimay_DT,-200.00,$1.13,-$226.44
2026,1,01/01/2026,Transferencia,38141,Plaza Mayor Metepec,Vaso de Papel 16 oz,Pieza,38987 SBUX Punta_Zero_Calimay_DT,-50.00,$1.18,-$58.93
2026,1,01/01/2026,Transferencia,38141,Plaza Mayor Metepec,Vaso de Papel 20 oz,Pieza,38987 SBUX Punta_Zero_Calimay_DT,-160.00,$1.57,-$251.60
2026,1,01/01/2026,Transferencia,38142,Zona Esmeralda,Salsa de Limon 46 oz,TetraPack 46oz,38535 SBUX City_Center_Esmeralda,-2.00,$52.11,-$104.21
2026,1,01/01/2026,Transferencia,38142,Zona Esmeralda,Tapa 16/20 oz Hot Traveler,Pieza,38535 SBUX City_Center_Esmeralda,-500.00,$0.55,-$274.54
2026,1,01/01/2026,Transferencia,38143,Americas (Gdl),72912 C4B CAFE ORIGINMEXICO 5LB,Bolsa 5 Lb,43172 SBUX Torre_1500,-4.00,"$1,035.01","-$4,140.04"
2026,1,01/01/2026,Transferencia,38143,Americas (Gdl),BIS GALLETA CHOCO CHUNKS CJ,Pieza,43172 SBUX Torre_1500,-18.00,$18.62,-$335.09
2026,1,01/01/2026,Transferencia,38143,Americas (Gdl),BIS GALLETA MACADAMIA CJ,Pieza,43172 SBUX Torre_1500,-20.00,$20.80,-$416.06
2026,1,01/01/2026,Transferencia,38143,Americas (Gdl),BIS NAL TRENZA CHOCOLATE CJ,Pieza,43172 SBUX Torre_1500,-20.00,$11.13,-$222.67
2026,1,01/01/2026,Transferencia,38143,Americas (Gdl),Ethiopia Single,Pieza,43172 SBUX Torre_1500,-2.00,$228.13,-$456.27
2026,1,01/01/2026,Transferencia,38143,Americas (Gdl),Mexico Single,Pieza,43172 SBUX Torre_1500,-2.00,$170.28,-$340.56
2026,1,01/01/2026,Transferencia,38143,Americas (Gdl),Sal de sobre,Pieza,43172 SBUX Torre_1500,-300.00,$0.09,-$26.70
2026,1,01/01/2026,Transferencia,38143,Americas (Gdl),Salsa de pistache,Bolsa 1Kg,43172 SBUX Torre_1500,-2.00,$226.23,-$452.45
2026,1,01/01/2026,Transferencia,38143,Americas (Gdl),Tapa 16/20 oz Hot Traveler,Pieza,38660 SBUX Sania,-100.00,$0.55,-$54.91
2026,1,01/01/2026,Transferencia,38144,Minerva (Gdl) Dt,Bis Super Croissant Cja/80 Pzas,Pieza,38228 SBUX Terranova,60.00,$14.50,$870.19
2026,1,01/01/2026,Transferencia,38144,Minerva (Gdl) Dt,Cafe Decaf Espresso Roast 5 Lb,Bolsa 5 Lb,43122 SBUX Av_Americas_Dark_Kitc,1.00,"$1,167.23","$1,167.23"
2026,1,01/01/2026,Transferencia,38144,Minerva (Gdl) Dt,Chocolate Abuela 1 kg,Bolsa 1Kg,38228 SBUX Terranova,1.00,$146.76,$146.76
2026,1,01/01/2026,Transferencia,38144,Minerva (Gdl) Dt,Chorizo Pamplona 500 gr,PAQ:Paq 500g,43122 SBUX Av_Americas_Dark_Kitc,1.00,$96.33,$96.33
2026,1,01/01/2026,Transferencia,38144,Minerva (Gdl) Dt,Vaso de Papel 20 oz,Pieza,43122 SBUX Av_Americas_Dark_Kitc,160.00,$1.57,$251.20
2026,1,01/01/2026,Transferencia,38154,Gran Plaza,Bis Pan De Chocolate Margarina C,Pieza,38228 SBUX Terranova,8.00,$17.00,$135.99
2026,1,01/01/2026,Transferencia,38154,Gran Plaza,Bis Super Croissant Cja/80 Pzas,Pieza,38228 SBUX Terranova,20.00,$14.50,$290.06
2026,1,01/01/2026,Transferencia,38154,Gran Plaza,Jarabe Caramelo 1 Lt,Litro,38228 SBUX Terranova,2.00,$94.25,$188.51
2026,1,01/01/2026,Transferencia,38154,Gran Plaza,Queso Crema,Pieza,38228 SBUX Terranova,10.00,$0.00,$0.00
2026,1,01/01/2026,Transferencia,38154,Gran Plaza,Tapa Domo 12/20 oz,Pieza,38228 SBUX Terranova,200.00,$0.42,$84.87
2026,1,01/01/2026,Transferencia,38155,Nh 16 De Septiembre,55802 C5B Raspberry Flavoured Pe,BOL: Bol 907 Gr,38234 SBUX Fiesta_Americana_Refo,1.00,$212.82,$212.82
2026,1,01/01/2026,Transferencia,38155,Nh 16 De Septiembre,Pastel Classic Chocolate,Pieza,38632 SBUX Madero_II,-7.00,$42.44,-$297.07
2026,1,01/01/2026,Transferencia,38155,Nh 16 De Septiembre,Pastel de Zanahoria Nuevo,Pieza,38632 SBUX Madero_II,-21.00,$39.93,-$838.47
2026,1,01/01/2026,Transferencia,38155,Nh 16 De Septiembre,Salsa De Caramelo Para Bebida Cj,Bolsa 1Kg,38234 SBUX Fiesta_Americana_Refo,1.00,$124.49,$124.49
2026,1,01/01/2026,Transferencia,38155,Nh 16 De Septiembre,Servilleta Logo 2025,NA,38465 SBUX Juarez_30,3.00,$27.60,$82.81
2026,1,01/01/2026,Transferencia,38155,Nh 16 De Septiembre,VASO 16OZ BEBIDA FRIA ECOCOMPNAL,Pieza,38234 SBUX Fiesta_Americana_Refo,200.00,$2.26,$452.20
2026,1,01/01/2026,Transferencia,38165,Aeropuerto Pb Internacional,Base de MangoDragonFruit 1litro,CJA: Caja 12 pz,38576 SBUX Apto_Gdl_Llegadas_Nac,-2.00,$85.80,-$171.59
2026,1,01/01/2026,Transferencia,38165,Aeropuerto Pb Internacional,Strawberry Acai Juice 6/1LT,CJA: Caja 12 pz,38576 SBUX Apto_Gdl_Llegadas_Nac,-2.00,$89.12,-$178.23
2026,1,01/01/2026,Transferencia,38166,Superama Santa Fe,Mocha Powder,Bolsa 3.9 Lb,38777 SBUX Parque_La_Mexic,1.00,$304.38,$304.38
2026,1,01/01/2026,Transferencia,38168,T2 Planta Alta,Tapa CompostaCaliente12/16/20 oz,Pieza,38943 SBUX Terraza_T2_Amb,100.00,$1.27,$127.23
