Año,Semana,Dia,Tipo Operación,CeCo,Tienda,Ingrediente,Unidad de Medida,Proveedor,Cantidad,Costo Unitario,Costo Total
2026,27,01/07/2026,Transferencia,38101,Angel,16191 Bebida De Avena Cj/6 Li,Litro,38240 SBUX Amberes,12.00,$41.76,$501.12
2026,27,01/07/2026,Transferencia,38101,Angel,Bis Super Croissant Cja/80 Pzas,Pieza,38240 SBUX Amberes,20.00,$13.81,$276.25
2026,27,01/07/2026,Transferencia,38101,Angel,Envuelto Boloñesa Pza Map Sbx,Pieza,38240 SBUX Amberes,8.00,$39.32,$314.56
2026,27,01/07/2026,Transferencia,38101,Angel,Media Baguette,Pieza,38240 SBUX Amberes,70.00,$12.66,$886.14
2026,27,01/07/2026,Transferencia,38101,Angel,Panini 3 Quesos,Pieza,38240 SBUX Amberes,7.00,$42.41,$296.87
2026,27,01/07/2026,Transferencia,38101,Angel,Te Tazo Chai Concentrado,Litro,38240 SBUX Amberes,15.00,$72.45,"$1,086.80"
2026,27,01/07/2026,Transferencia,38103,Aguilas,C16B DAIRY PROTEIN POWDER 200GRS,BOL: Bol 200g,38709 SBUX Corporativo_Barranca,2.00,$201.86,$403.72
2026,27,01/07/2026,Transferencia,38103,Aguilas,Cafe Chiapas 5 Lb,Bolsa 5 Lb,38692 SBUX Plaza_Exibimex,1.00,$909.65,$909.65
2026,27,01/07/2026,Transferencia,38103,Aguilas,MAP SANDWICH ART HUEVO PZA,Pieza,38709 SBUX Corporativo_Barranca,-6.00,$33.32,-$199.92
2026,27,01/07/2026,Transferencia,38103,Aguilas,MAP SANDWICH ART HUEVO PZA,Pieza,38118 SBUX Corporativo_Polanco,0.00,,$0.00
2026,27,01/07/2026,Transferencia,38103,Aguilas,Waffle Belga,Pieza,38709 SBUX Corporativo_Barranca,-6.00,$16.42,-$98.50
2026,27,01/07/2026,Transferencia,38103,Aguilas,Waffle Belga,Pieza,38118 SBUX Corporativo_Polanco,0.00,,$0.00
2026,27,01/07/2026,Transferencia,38104,Olivar De Los Padres,013481 CONTENEDOR ALMEJA 6ECO,Pieza,38501 SBUX Patio_Universidad,25.00,$4.01,$100.14
2026,27,01/07/2026,Transferencia,38104,Olivar De Los Padres,013481 CONTENEDOR ALMEJA 6ECO,Pieza,38188 SBUX Palmas,25.00,$4.01,$100.14
2026,27,01/07/2026,Transferencia,38104,Olivar De Los Padres,16086-Frapuccino Base Local Coff,Botella 1.89 Lt,38188 SBUX Palmas,1.00,$158.81,$158.81
2026,27,01/07/2026,Transferencia,38104,Olivar De Los Padres,Base Frappuccino Creme Syrup 3.0,Botella 1.89 Lt,38188 SBUX Palmas,1.00,$129.32,$129.32
2026,27,01/07/2026,Transferencia,38104,Olivar De Los Padres,Bis Super Croissant Cja/80 Pzas,Pieza,38188 SBUX Palmas,20.00,$13.81,$276.25
2026,27,01/07/2026,Transferencia,38104,Olivar De Los Padres,Macarones,Pieza,38501 SBUX Patio_Universidad,8.00,$63.08,$504.65
2026,27,01/07/2026,Transferencia,38104,Olivar De Los Padres,Media Baguette,Pieza,38188 SBUX Palmas,25.00,$12.66,$316.48
2026,27,01/07/2026,Transferencia,38104,Olivar De Los Padres,Mermelada Fresa St Dalfour Cja/7,Pieza,38501 SBUX Patio_Universidad,10.00,$8.53,$85.34
2026,27,01/07/2026,Transferencia,38104,Olivar De Los Padres,Queso Manchego 500grs,PAQ:Paq 500g,38617 SBUX Axiomatla,3.00,$81.85,$245.55
2026,27,01/07/2026,Transferencia,38104,Olivar De Los Padres,Queso Manchego 500grs,PAQ:Paq 500g,38188 SBUX Palmas,1.00,$81.85,$81.85
2026,27,01/07/2026,Transferencia,38104,Olivar De Los Padres,Salsa De Caramelo Para Bebida Cj,Bolsa 1Kg,38501 SBUX Patio_Universidad,1.00,$124.36,$124.36
2026,27,01/07/2026,Transferencia,38106,Prado Norte,55802 C5B Raspberry Flavoured Pe,BOL: Bol 907 Gr,38188 SBUX Palmas,1.00,$222.81,$222.81
2026,27,01/07/2026,Transferencia,38106,Prado Norte,Cronuts Chocolate,Pieza,38188 SBUX Palmas,5.00,$20.42,$102.12
2026,27,01/07/2026,Transferencia,38106,Prado Norte,Inclusion Dragon Fruit Liof C/12,BTE: Bte 75 grs,38188 SBUX Palmas,2.00,$119.85,$239.70
2026,27,01/07/2026,Transferencia,38109,Wtc,Bis Super Croissant Cja/80 Pzas,Pieza,38423 SBUX Torre_WTC,-20.00,$13.81,-$276.25
2026,27,01/07/2026,Transferencia,38109,Wtc,Cafe Chiapas 5 Lb,Bolsa 5 Lb,38498 SBUX Montecito_WTC,-2.00,$909.65,"-$1,819.29"
2026,27,01/07/2026,Transferencia,38109,Wtc,Cafe Cold Brew 5 Lb,Bolsa 5 Lb,38504 SBUX Insurgentes_WTC,-1.00,$929.97,-$929.97
2026,27,01/07/2026,Transferencia,38109,Wtc,Cafe Espresso Roast 5 Lb,Bolsa 5 Lb,38498 SBUX Montecito_WTC,-1.00,$938.68,-$938.68
