Año,Semana,Dia,Tipo Operación,CeCo,Tienda,Ingrediente,Unidad de Medida,Proveedor,Cantidad,Costo Unitario,Costo Total
2026,23,01/06/2026,Transferencia,38104,Olivar De Los Padres,013481 CONTENEDOR ALMEJA 6ECO,Pieza,38482 SBUX Pestalozzi,20.00,$4.01,$80.10
2026,23,01/06/2026,Transferencia,38104,Olivar De Los Padres,013481 CONTENEDOR ALMEJA 6ECO,Pieza,38730 SBUX Manacar_PB,42.00,$4.01,$168.23
2026,23,01/06/2026,Transferencia,38104,Olivar De Los Padres,Base Frappuccino Creme Syrup 3.0,Botella 1.89 Lt,38954 SBUX Universid_Anahuac_Sur,-2.00,$129.32,-$258.64
2026,23,01/06/2026,Transferencia,38104,Olivar De Los Padres,Bolsa con Asa Chica,Pieza,38482 SBUX Pestalozzi,30.00,$1.56,$46.74
2026,23,01/06/2026,Transferencia,38104,Olivar De Los Padres,Chorizo Pamplona 500 gr,PAQ:Paq 500g,38692 SBUX Plaza_Exibimex,1.00,$96.33,$96.33
2026,23,01/06/2026,Transferencia,38104,Olivar De Los Padres,Jarabe White Mocha 750 ml,NA,38692 SBUX Plaza_Exibimex,1.00,$117.53,$117.53
2026,23,01/06/2026,Transferencia,38104,Olivar De Los Padres,Jarabe White Mocha 750 ml,NA,38482 SBUX Pestalozzi,2.00,$117.53,$235.05
2026,23,01/06/2026,Transferencia,38104,Olivar De Los Padres,Mocha Powder,Bolsa 3.9 Lb,38730 SBUX Manacar_PB,1.00,$300.41,$300.41
2026,23,01/06/2026,Transferencia,38104,Olivar De Los Padres,Salsa de Limon 46 oz,TetraPack 46oz,38692 SBUX Plaza_Exibimex,1.00,$53.52,$53.52
2026,23,01/06/2026,Transferencia,38104,Olivar De Los Padres,TAPA NITRO VASO12-22OZ ECOCOMPNA,Pieza,38482 SBUX Pestalozzi,100.00,$0.64,$63.60
2026,23,01/06/2026,Transferencia,38104,Olivar De Los Padres,TAPA NITRO VASO16OZ ECOCOMP NAL,Pieza,38482 SBUX Pestalozzi,100.00,$0.69,$68.80
2026,23,01/06/2026,Transferencia,38104,Olivar De Los Padres,TAPA NITRO VASO16OZ ECOCOMP NAL,Pieza,38730 SBUX Manacar_PB,100.00,$0.69,$68.81
2026,23,01/06/2026,Transferencia,38104,Olivar De Los Padres,Te Tazo Chai Concentrado,Litro,38730 SBUX Manacar_PB,1.00,$72.45,$72.45
2026,23,01/06/2026,Transferencia,38104,Olivar De Los Padres,Toronja en Gajos,Pieza,38482 SBUX Pestalozzi,4.00,$31.04,$124.14
2026,23,01/06/2026,Transferencia,38104,Olivar De Los Padres,Vaso Compostable Caliente 12 oz,Pieza,38692 SBUX Plaza_Exibimex,100.00,$1.48,$148.18
2026,23,01/06/2026,Transferencia,38104,Olivar De Los Padres,Vaso Compostable Caliente 16 oz,Pieza,38730 SBUX Manacar_PB,100.00,$1.70,$170.29
2026,23,01/06/2026,Transferencia,38106,Prado Norte,BIS NAL TRENZA CHOCOLATE CJ,Pieza,43142 SBUX Montes_Urales,29.00,$15.56,$451.10
2026,23,01/06/2026,Transferencia,38106,Prado Norte,Cargadores de N2O para Sifon,PAQ: Paquete 24,43142 SBUX Montes_Urales,1.00,$152.36,$152.36
2026,23,01/06/2026,Transferencia,38106,Prado Norte,Dona Doble Chocolate,Pieza,43142 SBUX Montes_Urales,5.00,$14.04,$70.21
2026,23,01/06/2026,Transferencia,38106,Prado Norte,Te Chamomile C/100,Pieza,43142 SBUX Montes_Urales,10.00,$3.47,$34.73
2026,23,01/06/2026,Transferencia,38106,Prado Norte,VASO 16OZ BEBIDA FRIA ECOCOMPNAL,Pieza,43142 SBUX Montes_Urales,50.00,$2.21,$110.45
2026,23,01/06/2026,Transferencia,38106,Prado Norte,Vaso Compostable Caliente 4oz,Pieza,43142 SBUX Montes_Urales,50.00,$0.69,$34.60
2026,23,01/06/2026,Transferencia,38108,Campos Eliseos,Base de MangoDragonFruit 1litro,CJA: Caja 12 pz,38597 SBUX Emerson,-3.00,$82.84,-$248.53
2026,23,01/06/2026,Transferencia,38108,Campos Eliseos,Blister Chipotle,Pieza,43045 SBUX Periferico_Polanco_DT,50.00,$1.18,$58.86
2026,23,01/06/2026,Transferencia,38108,Campos Eliseos,Blister Chipotle,Pieza,38612 SBUX Antara_II,35.00,$1.18,$41.20
2026,23,01/06/2026,Transferencia,38108,Campos Eliseos,Coffee Traveler 960z,Pieza,38597 SBUX Emerson,-5.00,$58.39,-$291.95
2026,23,01/06/2026,Transferencia,38108,Campos Eliseos,Fajilla de Carton,Pieza,43045 SBUX Periferico_Polanco_DT,-200.00,$0.29,-$57.33
2026,23,01/06/2026,Transferencia,38108,Campos Eliseos,Salsa De Caramelo Para Bebida Cj,Bolsa 1Kg,43045 SBUX Periferico_Polanco_DT,2.00,$124.36,$248.71
