Año,Semana,Dia,Tipo Operación,CeCo,Tienda,Ingrediente,Unidad de Medida,Proveedor,Cantidad,Costo Unitario,Costo Total
2026,9,01/03/2026,Transferencia,38101,Angel,Jarabe Vainilla 1 Lt,Litro,38240 SBUX Amberes,-1.00,$98.52,-$98.52
2026,9,01/03/2026,Transferencia,38112,Insurgentes Parroquia,Bis Super Croissant Cja/80 Pzas,Pieza,38549 SBUX Galerias_Insurgentes,-20.00,$13.80,-$276.00
2026,9,01/03/2026,Transferencia,38112,Insurgentes Parroquia,Crema Para Batir Cja/12 Pzas/950,Litro,38549 SBUX Galerias_Insurgentes,-2.00,$105.27,-$210.54
2026,9,01/03/2026,Transferencia,38112,Insurgentes Parroquia,Inclusion Dragon Fruit Liof C/12,BTE: Bte 75 grs,38730 SBUX Manacar_PB,-1.00,$122.63,-$122.63
2026,9,01/03/2026,Transferencia,38112,Insurgentes Parroquia,Salsa De Fresa Cj/12 Pzas/1 Lt S,Litro,38549 SBUX Galerias_Insurgentes,-1.00,$131.34,-$131.34
2026,9,01/03/2026,Transferencia,38112,Insurgentes Parroquia,VASO 22OZ BEBIDA FRIA ECOCOMPNAL,Pieza,38549 SBUX Galerias_Insurgentes,-100.00,$2.60,-$260.44
2026,9,01/03/2026,Transferencia,38115,Zona Azul,Contenedor Almeja 6 Pulg De Plas,Pieza,38149 SBUX Bella_Vista,30.00,$1.66,$49.65
2026,9,01/03/2026,Transferencia,38115,Zona Azul,Media Baguette,Pieza,38149 SBUX Bella_Vista,-18.00,$12.66,-$227.86
2026,9,01/03/2026,Transferencia,38124,San Jeronimo,Piadini de Claras y Espinacas,Pieza,38580 SBUX Pasaje_San_Jeronimo,2.00,$29.26,$58.52
2026,9,01/03/2026,Transferencia,38128,Condesa,Tapa CompostaCaliente12/16/20 oz,Pieza,43105 SBUX Insurgentes_Capital,-150.00,$1.27,-$190.85
2026,9,01/03/2026,Transferencia,38129,Plaza Santa Teresa,Panini Pavo y Panela,Pieza,38398 SBUX MexFund_Pedregal,15.00,$38.87,$583.05
2026,9,01/03/2026,Transferencia,38134,Pilares Dt,Cafe Espresso Roast 5 Lb,Bolsa 5 Lb,38428 SBUX Jardines_Del_Pedregal,1.00,$916.80,$916.80
2026,9,01/03/2026,Transferencia,38134,Pilares Dt,VASO 16OZ BEBIDA FRIA ECOCOMPNAL,Pieza,38513 SBUX San_Lorenzo,100.00,$2.29,$229.34
2026,9,01/03/2026,Transferencia,38142,Zona Esmeralda,Aderezo Chipotle Heinz 390 gr,BTE: Bote 390g,38535 SBUX City_Center_Esmeralda,-3.00,$38.40,-$115.21
2026,9,01/03/2026,Transferencia,38142,Zona Esmeralda,Jarabe Caramelo 1 Lt,Litro,43130 SBUX Town_Cen_Nicolas_Rome,-1.00,$88.75,-$88.75
2026,9,01/03/2026,Transferencia,38142,Zona Esmeralda,Salsa De Caramelo Para Bebida Cj,Bolsa 1Kg,43130 SBUX Town_Cen_Nicolas_Rome,-1.00,$113.91,-$113.91
2026,9,01/03/2026,Transferencia,38142,Zona Esmeralda,Salsa De Fresa Cj/12 Pzas/1 Lt S,Litro,38535 SBUX City_Center_Esmeralda,-2.00,$131.34,-$262.68
2026,9,01/03/2026,Transferencia,38142,Zona Esmeralda,Salsa de Limon 46 oz,TetraPack 46oz,43130 SBUX Town_Cen_Nicolas_Rome,-1.00,$52.07,-$52.07
2026,9,01/03/2026,Transferencia,38142,Zona Esmeralda,Servilleta Logo 2025,NA,38535 SBUX City_Center_Esmeralda,-2.00,$27.60,-$55.21
2026,9,01/03/2026,Transferencia,38142,Zona Esmeralda,Vaso de Papel 12 oz,Pieza,38535 SBUX City_Center_Esmeralda,-50.00,$1.13,-$56.61
2026,9,01/03/2026,Transferencia,38147,Puebla Las Animas Dt,301427 Leche Entera Cj/6 Pzas/2L,LT: 2 Litros,38174 SBUX Triangulo_Puebla,6.00,$50.12,$300.72
2026,9,01/03/2026,Transferencia,38147,Puebla Las Animas Dt,Jarabe Caramelo 1 Lt,Litro,38672 SBUX 31_Oriente,1.00,$88.75,$88.75
2026,9,01/03/2026,Transferencia,38147,Puebla Las Animas Dt,Tapa 16/20 oz Hot Traveler,Pieza,38174 SBUX Triangulo_Puebla,-100.00,$0.55,-$54.91
2026,9,01/03/2026,Transferencia,38147,Puebla Las Animas Dt,Vaso de Papel 8 oz,Pieza,38672 SBUX 31_Oriente,200.00,$0.73,$146.14
2026,9,01/03/2026,Transferencia,38149,Bellavista,Contenedor Almeja 6 Pulg De Plas,Pieza,38115 SBUX Zona_Azul,-30.00,$1.65,-$49.64
2026,9,01/03/2026,Transferencia,38149,Bellavista,Media Baguette,Pieza,38115 SBUX Zona_Azul,18.00,$12.66,$227.86
2026,9,01/03/2026,Transferencia,38157,Cc Angelopolis,Bis Nal Cheesecake Roulet Maxi C,Pieza,38831 SBUX Angelopolis_II,-10.00,$17.69,-$176.94
2026,9,01/03/2026,Transferencia,38157,Cc Angelopolis,Cibatta Pollo,Pieza,38831 SBUX Angelopolis_II,-1.00,$45.76,-$45.76
2026,9,01/03/2026,Transferencia,38157,Cc Angelopolis,Contenedor Almeja 6 Pulg De Plas,Pieza,38831 SBUX Angelopolis_II,-50.00,$1.65,-$82.74
2026,9,01/03/2026,Transferencia,38157,Cc Angelopolis,Tapa Nitro para vasos 12/20 Oz,Pieza,38831 SBUX Angelopolis_II,-300.00,$0.81,-$243.50
2026,9,01/03/2026,Transferencia,38157,Cc Angelopolis,Vaso de Plastico 20 oz,Pieza,38831 SBUX Angelopolis_II,-50.00,$1.51,-$75.32
2026,9,01/03/2026,Transferencia,38159,Bugambilias (Gdl),BIS GALLETA DUBAI CJ,Pieza,38218 SBUX Las_Fuentes,-20.00,$28.37,-$567.36
2026,9,01/03/2026,Transferencia,38159,Bugambilias (Gdl),Chocolate Abuela 1 kg,Bolsa 1Kg,38218 SBUX Las_Fuentes,-1.00,$146.76,-$146.76
2026,9,01/03/2026,Transferencia,38159,Bugambilias (Gdl),Jarabe Frambuesa 1 Lt,Litro,38218 SBUX Las_Fuentes,-1.00,$88.66,-$88.66
2026,9,01/03/2026,Transferencia,38159,Bugambilias (Gdl),Media Baguette,Pieza,38218 SBUX Las_Fuentes,-30.00,$12.66,-$379.77
2026,9,01/03/2026,Transferencia,38159,Bugambilias (Gdl),Panini Pavo y Panela,Pieza,38218 SBUX Las_Fuentes,-20.00,$38.87,-$777.40
2026,9,01/03/2026,Transferencia,38163,Juarez Puebla Dt,57334 C6P Base Summer Berry 4x 1,PZA: Pza 1 LT,38753 SBUX Parque_Puebla_PB,6.00,$178.96,"$1,073.78"
2026,9,01/03/2026,Transferencia,38163,Juarez Puebla Dt,Base de MangoDragonFruit 1litro,CJA: Caja 12 pz,38753 SBUX Parque_Puebla_PB,3.00,$79.44,$238.31
2026,9,01/03/2026,Transferencia,38163,Juarez Puebla Dt,Leche de Almendras CJ/6PZAS,BTE: Bte 946ml,38753 SBUX Parque_Puebla_PB,6.00,$29.18,$175.10
2026,9,01/03/2026,Transferencia,38163,Juarez Puebla Dt,Strawberry Acai Juice 6/1LT,CJA: Caja 12 pz,38753 SBUX Parque_Puebla_PB,3.00,$91.58,$274.75
2026,9,01/03/2026,Transferencia,38167,Aeropuerto Int Dufry,301427 Leche Entera Cj/6 Pzas/2L,LT: 2 Litros,38803 SBUX Apto_CDMX_T1_Amb_Pta8,-72.00,$50.12,"-$3,608.64"
2026,9,01/03/2026,Transferencia,38167,Aeropuerto Int Dufry,306035 Leche Light 1 LT,Litro,38803 SBUX Apto_CDMX_T1_Amb_Pta8,-24.00,$23.26,-$558.24
