Año,Semana,Dia,Tipo Operación,CeCo,Tienda,Ingrediente,Unidad de Medida,Proveedor,Cantidad,Costo Unitario,Costo Total
2026,18,01/05/2026,Transferencia,38101,Angel,C16B DAIRY PROTEIN POWDER 200GRS,BOL: Bol 200g,38285 SBUX Reforma_222,2.00,$201.86,$403.72
2026,18,01/05/2026,Transferencia,38101,Angel,Polvo SCBB 24/56.7,Pieza,38240 SBUX Amberes,3.00,$102.13,$306.38
2026,18,01/05/2026,Transferencia,38101,Angel,VASO 16OZ BEBIDA FRIA ECOCOMPNAL,Pieza,38285 SBUX Reforma_222,-100.00,$2.29,-$229.34
2026,18,01/05/2026,Transferencia,38104,Olivar De Los Padres,Base de MangoDragonFruit 1litro,CJA: Caja 12 pz,38617 SBUX Axiomatla,-2.00,$79.44,-$158.87
2026,18,01/05/2026,Transferencia,38104,Olivar De Los Padres,Charola Porta Vasos,Pieza,38617 SBUX Axiomatla,-150.00,$1.43,-$215.12
2026,18,01/05/2026,Transferencia,38104,Olivar De Los Padres,Salsa De Fresa Cj/12 Pzas/1 Lt S,Litro,38617 SBUX Axiomatla,-5.00,$131.34,-$656.70
2026,18,01/05/2026,Transferencia,38104,Olivar De Los Padres,VASO 22OZ BEBIDA FRIA ECOCOMPNAL,Pieza,38617 SBUX Axiomatla,-200.00,$2.60,-$520.88
2026,18,01/05/2026,Transferencia,38107,Pedregal,Salsa de Limon 46 oz,TetraPack 46oz,38129 SBUX Plaza_Santa_Teresa,-3.00,$52.07,-$156.22
2026,18,01/05/2026,Transferencia,38107,Pedregal,Salsa de Limon 46 oz,TetraPack 46oz,38571 SBUX Jolie Place,-6.00,$52.07,-$312.44
2026,18,01/05/2026,Transferencia,38109,Wtc,16086-Frapuccino Base Local Coff,Botella 1.89 Lt,38440 SBUX Angeles_Metropolitano,-1.00,$155.86,-$155.86
2026,18,01/05/2026,Transferencia,38109,Wtc,Base Frappuccino Creme Syrup 3.0,Botella 1.89 Lt,38440 SBUX Angeles_Metropolitano,-1.00,$126.80,-$126.80
2026,18,01/05/2026,Transferencia,38109,Wtc,Salsa De Fresa Cj/12 Pzas/1 Lt S,Litro,38498 SBUX Montecito_WTC,-2.00,$131.34,-$262.68
2026,18,01/05/2026,Transferencia,38112,Insurgentes Parroquia,16191 Bebida De Avena Cj/6 Li,Litro,38730 SBUX Manacar_PB,-1.00,$41.76,-$41.76
2026,18,01/05/2026,Transferencia,38112,Insurgentes Parroquia,74136 C8B LECHE COCONUT 1.89LT,Botella 1.89 Lt,38730 SBUX Manacar_PB,-1.00,$65.61,-$65.61
2026,18,01/05/2026,Transferencia,38112,Insurgentes Parroquia,Base de MangoDragonFruit 1litro,CJA: Caja 12 pz,38549 SBUX Galerias_Insurgentes,-1.00,$79.44,-$79.44
2026,18,01/05/2026,Transferencia,38112,Insurgentes Parroquia,Base de MangoDragonFruit 1litro,CJA: Caja 12 pz,38730 SBUX Manacar_PB,-2.00,$79.44,-$158.87
2026,18,01/05/2026,Transferencia,38112,Insurgentes Parroquia,Leche de Almendras CJ/6PZAS,BTE: Bte 946ml,38730 SBUX Manacar_PB,-1.00,$29.18,-$29.18
2026,18,01/05/2026,Transferencia,38112,Insurgentes Parroquia,Leche Half & Half Borden,Litro,38730 SBUX Manacar_PB,-1.00,$40.71,-$40.71
2026,18,01/05/2026,Transferencia,38112,Insurgentes Parroquia,Media Baguette,Pieza,38730 SBUX Manacar_PB,-10.00,$12.66,-$126.59
2026,18,01/05/2026,Transferencia,38112,Insurgentes Parroquia,Pastel Classic Chocolate,Pieza,38549 SBUX Galerias_Insurgentes,7.00,$45.06,$315.41
2026,18,01/05/2026,Transferencia,38112,Insurgentes Parroquia,Popote Verde Estuchado Compostab,Pieza,38549 SBUX Galerias_Insurgentes,130.00,$0.22,$28.55
2026,18,01/05/2026,Transferencia,38112,Insurgentes Parroquia,Salsa de Limon 46 oz,TetraPack 46oz,38549 SBUX Galerias_Insurgentes,2.00,$52.07,$104.15
2026,18,01/05/2026,Transferencia,38112,Insurgentes Parroquia,Strawberry Acai Juice 6/1LT,CJA: Caja 12 pz,38730 SBUX Manacar_PB,-1.00,$91.58,-$91.58
2026,18,01/05/2026,Transferencia,38112,Insurgentes Parroquia,TAPA NITRO VASO16OZ ECOCOMP NAL,Pieza,38549 SBUX Galerias_Insurgentes,-100.00,$0.69,-$68.80
