Año,Semana,Dia,Tipo Operación,CeCo,Tienda,Ingrediente,Unidad de Medida,Proveedor,Cantidad,Costo Unitario,Costo Total
2026,5,01/02/2026,Transferencia,38103,Aguilas,Aderezo Chipotle Heinz 390 gr,BTE: Bote 390g,38617 SBUX Axiomatla,-1.00,$38.40,-$38.40
2026,5,01/02/2026,Transferencia,38103,Aguilas,Aderezo Chipotle Heinz 390 gr,BTE: Bote 390g,38104 SBUX Olivar,-2.00,$38.40,-$76.81
2026,5,01/02/2026,Transferencia,38103,Aguilas,TAPA PLANA VASO12-22OZECOCOMPNAL,Pieza,38617 SBUX Axiomatla,-100.00,$0.47,-$46.60
2026,5,01/02/2026,Transferencia,38103,Aguilas,TAPA PLANA VASO16 OZ ECOCOMP NAL,Pieza,38617 SBUX Axiomatla,-100.00,$0.52,-$51.70
2026,5,01/02/2026,Transferencia,38103,Aguilas,Vaso Compostable Caliente 12 oz,Pieza,38617 SBUX Axiomatla,-100.00,$1.48,-$148.20
2026,5,01/02/2026,Transferencia,38104,Olivar De Los Padres,Aderezo Chipotle Heinz 390 gr,BTE: Bote 390g,38103 SBUX Aguilas,2.00,$38.40,$76.81
2026,5,01/02/2026,Transferencia,38104,Olivar De Los Padres,Charola Porta Vasos,Pieza,38617 SBUX Axiomatla,-35.00,$1.43,-$50.19
2026,5,01/02/2026,Transferencia,38104,Olivar De Los Padres,Salsa de pistache,Bolsa 1Kg,38617 SBUX Axiomatla,-3.00,$214.68,-$644.05
2026,5,01/02/2026,Transferencia,38106,Prado Norte,Coffee Traveler 960z,Pieza,43142 SBUX Montes_Urales,-2.00,$58.39,-$116.78
2026,5,01/02/2026,Transferencia,38106,Prado Norte,MAP SANDWICH ART HUEVO PZA,Pieza,43142 SBUX Montes_Urales,2.00,$33.32,$66.64
2026,5,01/02/2026,Transferencia,38111,Masaryk,301427 Leche Entera Cj/6 Pzas/2L,LT: 2 Litros,38470 SBUX Chapu_Reforma,-6.00,$50.12,-$300.72
2026,5,01/02/2026,Transferencia,38111,Masaryk,306035 Leche Light 1 LT,Litro,38470 SBUX Chapu_Reforma,-12.00,$23.26,-$279.12
